-2.3230707,-1.9405744,-2.3273379,-1.9303895
-2.3238703,-1.9397417,-2.3283242,-1.9292698
-2.3239738,-1.9396232,-2.3282782,-1.9292883
-2.3230556,-1.9405483,-2.3274657,-1.930165
-2.3215338,-1.9420506,-2.3259555,-1.9315933
-2.3193222,-1.9442629,-2.3235263,-1.9340367
-2.3164402,-1.9471943,-2.320489,-1.937226
-2.3128716,-1.9507555,-2.317028,-1.9407351
-2.308619,-1.9549583,-2.3130652,-1.9445303
-2.3037094,-1.9598519,-2.3081194,-1.9494157
-2.29815,-1.9654232,-2.3023063,-1.955262
-2.291965,-1.971654,-2.2960078,-1.9617025
-2.2851447,-1.9784559,-2.289342,-1.9683847
-2.2777056,-1.9858519,-2.2821642,-1.9754107
-2.2696756,-1.9938655,-2.2740365,-1.9834924
-2.2610773,-2.0024976,-2.2651993,-1.9923933
-2.2519292,-2.0116782,-2.2560068,-2.0016937
-2.242235,-2.0213522,-2.246491,-2.0112033
-2.232021,-2.0315348,-2.2364951,-2.0210888
-2.2213153,-2.0422317,-2.2256404,-2.0319058
-2.210152,-2.0534427,-2.214248,-2.043381
-2.198547,-2.065069,-2.2026604,-2.0550519
-2.1865126,-2.0770688,-2.190863,-2.0668067
-2.1740865,-2.0894754,-2.1785473,-2.079048
-2.1612972,-2.1022679,-2.165574,-2.091987
-2.1481859,-2.1154382,-2.1522583,-2.1054049
-2.1347674,-2.1288755,-2.1388825,-2.1188785
-2.1210613,-2.1425387,-2.1255033,-2.132211
-2.1071096,-2.1564778,-2.111628,-2.1460086
-2.0929421,-2.170653,-2.0972049,-2.1603972
-2.0786068,-2.1850528,-2.0826981,-2.1750077
-2.064117,-2.199559,-2.0682814,-2.1895222
-2.0494963,-2.2141398,-2.0539852,-2.2037913
-2.0347889,-2.2288386,-2.0393194,-2.2183942
-2.0200269,-2.2436148,-2.0243005,-2.233365
-2.0052586,-2.2584509,-2.0093542,-2.2484049
-1.9904972,-2.273221,-1.9947087,-2.2631482
