EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,eval_traj_length,advs/mean_Mean,advs/mean_Std,advs/mean_Max,advs/mean_Min,advs/std_Mean,advs/std_Std,advs/std_Max,advs/std_Min,advs/max_Mean,advs/max_Std,advs/max_Max,advs/max_Min,advs/min_Mean,advs/min_Std,advs/min_Max,advs/min_Min,Training/vf_loss_Mean,Training/vf_loss_Std,Training/vf_loss_Max,Training/vf_loss_Min,grad_norm/vf_Mean,grad_norm/vf_Std,grad_norm/vf_Max,grad_norm/vf_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,logprob/mean_Mean,logprob/mean_Std,logprob/mean_Max,logprob/mean_Min,logprob/std_Mean,logprob/std_Std,logprob/std_Max,logprob/std_Min,logprob/max_Mean,logprob/max_Std,logprob/max_Max,logprob/max_Min,logprob/min_Mean,logprob/min_Std,logprob/min_Max,logprob/min_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,ratio/max_Mean,ratio/max_Std,ratio/max_Max,ratio/max_Min,ratio/min_Mean,ratio/min_Std,ratio/min_Max,ratio/min_Min,grad_norm/pf_Mean,grad_norm/pf_Std,grad_norm/pf_Max,grad_norm/pf_Min
100,478.14655351638794,1654784,313.18774,5900.96287,182.93136,437.24630,24.34248,16.55077,1000.00000,-0.07279,0.73850,1.03022,-2.44659,5.48982,1.51469,9.87873,3.65724,27.56269,6.67344,46.85694,13.23024,-35.98500,8.03953,-16.24366,-59.06894,19.92758,9.19066,89.71543,9.43744,312.54993,225.83181,1785.37537,72.26820,0.01815,0.01140,0.07358,-0.00870,4.02408,0.05818,4.21933,3.84009,1.74869,0.05297,1.94049,1.60819,6.87408,0.06535,7.01768,6.68567,-5.14599,1.65007,-1.50399,-10.76390,-2.09270,0.00153,-2.09041,-2.09506,0.04056,0.00035,0.04116,0.03985,-2.05183,0.00189,-2.04852,-2.05446,-2.14827,0.00172,-2.14466,-2.15024,2.80807,1.40343,20.68233,1.03084,0.30891,0.15999,0.97206,0.00155,4.92210,1.02281,11.24928,2.80632
110,480.1266438961029,1818624,328.51556,7628.88522,190.81250,439.00348,24.27752,16.84004,1000.00000,-0.40988,0.74194,0.72071,-2.12013,6.15453,1.28578,9.19744,3.93673,28.56182,6.40945,50.02973,16.67748,-42.28078,8.31235,-17.86967,-60.80997,26.35273,10.74111,73.02329,9.77172,361.80129,331.25089,4455.76855,74.49721,0.01816,0.01149,0.07244,-0.00614,3.98811,0.05545,4.13783,3.79565,1.74911,0.05415,1.93459,1.61423,6.85373,0.06169,6.99480,6.68527,-5.15073,1.72789,-2.48710,-12.54562,-2.08823,0.00132,-2.08609,-2.09040,0.04092,0.00029,0.04162,0.04047,-2.04625,0.00145,-2.04378,-2.04870,-2.14266,0.00146,-2.14038,-2.14463,2.84490,1.21382,14.78741,1.05179,0.29504,0.15703,0.94988,0.01743,5.05483,1.07082,9.80173,3.12433
120,525.3014464378357,1982464,306.24189,8684.64733,208.96221,481.35723,26.22423,17.71990,1000.00000,-0.04612,0.62599,1.02955,-1.80384,5.99238,1.23620,10.52104,4.23293,29.85786,6.63378,59.33572,16.47658,-45.68523,14.23382,-15.88785,-85.14244,27.61340,11.51045,82.95740,11.80086,361.60042,322.15539,4405.93555,95.59976,0.01908,0.01238,0.08594,-0.00950,3.96489,0.05421,4.11795,3.71294,1.74926,0.05554,1.90986,1.55290,6.82317,0.06664,6.96834,6.61414,-5.14663,1.60297,-2.25101,-13.58271,-2.08415,0.00124,-2.08247,-2.08611,0.04218,0.00036,0.04282,0.04157,-2.03988,0.00260,-2.03654,-2.04433,-2.13996,0.00139,-2.13731,-2.14186,2.84468,1.20180,10.88647,1.06345,0.29572,0.15577,0.93799,0.00707,5.15182,1.15970,9.80167,2.82588
130,492.27355217933655,2146304,383.03649,9688.42150,229.93802,450.66108,24.95238,16.65247,910.25000,-0.66930,0.73168,0.55079,-2.82251,7.19114,2.11323,12.41210,4.61568,29.82477,6.22027,47.71792,16.69594,-53.65945,17.35856,-18.07693,-97.47589,33.31370,16.81242,142.83755,12.72670,549.60833,578.19062,6254.21924,103.82323,0.01888,0.01126,0.05081,-0.00985,3.93807,0.05508,4.10417,3.78341,1.75074,0.05716,1.89734,1.56929,6.79442,0.06850,6.94247,6.56993,-5.13068,1.55229,-1.93044,-11.90352,-2.08027,0.00156,-2.07798,-2.08248,0.04229,0.00050,0.04300,0.04134,-2.03443,0.00147,-2.03184,-2.03667,-2.13503,0.00266,-2.13117,-2.13857,2.76743,0.87763,7.41058,1.03334,0.30589,0.14935,0.95679,0.00013,5.16664,1.11642,8.77157,2.43896
140,483.5964398384094,2310144,340.30738,10474.38318,301.94599,442.21266,24.40598,16.97772,1000.00000,-0.03471,0.44601,0.97489,-1.27816,5.79130,0.73922,8.15082,4.30198,27.86994,8.69625,60.01774,14.84139,-49.38152,11.68601,-17.44887,-74.15081,25.72955,7.75449,55.46847,12.54842,300.01672,136.74753,1083.58374,102.32930,0.01780,0.01138,0.05142,-0.00729,3.91701,0.05493,4.10061,3.72970,1.74234,0.05462,1.90067,1.58819,6.77416,0.06532,6.93254,6.51827,-5.13068,1.54334,-2.02517,-13.04440,-2.07501,0.00146,-2.07323,-2.07818,0.03986,0.00087,0.04138,0.03867,-2.02866,0.00127,-2.02649,-2.03196,-2.12502,0.00315,-2.12138,-2.13116,2.83312,0.98540,8.24782,1.05103,0.28775,0.15522,0.94843,0.00620,4.92901,1.06127,9.40077,2.54339
150,482.0456790924072,2473984,364.90175,9989.38789,311.15679,440.65013,24.49588,16.89952,953.00000,-0.27664,0.55851,0.73920,-1.89506,6.37143,1.09633,9.28193,4.48888,30.52558,7.34076,63.71400,14.75407,-50.03318,11.20946,-20.54824,-71.93424,31.58863,12.48210,85.01231,13.43552,309.29417,146.08031,1183.69409,103.23254,0.01889,0.01122,0.05437,-0.00601,3.88326,0.05648,4.02173,3.70404,1.74396,0.05539,1.94995,1.59746,6.73830,0.06460,6.89674,6.50380,-5.17007,1.51846,-2.07742,-10.30980,-2.07080,0.00133,-2.06842,-2.07323,0.03863,0.00039,0.03954,0.03798,-2.02512,0.00144,-2.02218,-2.02766,-2.11861,0.00146,-2.11684,-2.12138,2.96932,1.24810,13.74382,1.05372,0.27628,0.16017,0.95211,0.01162,4.85688,1.05471,8.30886,2.65883
160,479.99510049819946,2637824,390.70546,11508.46049,302.50063,438.93812,24.34820,16.70870,938.12500,0.02907,0.56521,0.91439,-1.72251,6.19000,1.10476,9.78840,4.42768,28.75715,7.02914,57.44571,17.13107,-48.47744,11.37609,-20.92974,-73.54176,28.78388,10.09968,77.31497,13.90293,302.97580,133.29027,900.10492,105.23727,0.01950,0.01211,0.07113,-0.01094,3.84880,0.05832,4.01742,3.67930,1.75107,0.05297,1.91726,1.59140,6.71281,0.06732,6.85815,6.49303,-5.08432,1.40081,-2.36909,-11.01916,-2.06537,0.00171,-2.06257,-2.06841,0.03887,0.00035,0.03966,0.03843,-2.02202,0.00121,-2.01938,-2.02345,-2.11576,0.00139,-2.11235,-2.11785,3.16674,2.88402,60.54032,1.03751,0.26722,0.15816,0.96084,0.00012,5.23471,1.19500,13.95463,2.99399
170,478.1858856678009,2801664,417.88067,9244.08205,270.21098,437.37327,24.31937,16.49317,1000.00000,-0.49712,1.20783,0.87284,-4.21958,7.03016,2.54455,15.35515,4.62915,32.11306,12.00635,75.50605,15.85162,-52.27557,11.88477,-18.60062,-73.57352,40.92039,33.64690,203.34740,15.34084,363.21377,278.54881,2148.47363,103.29355,0.01871,0.01209,0.06416,-0.00869,3.81871,0.05683,4.01126,3.62641,1.74598,0.05368,1.95442,1.55550,6.67927,0.06318,6.81723,6.50365,-5.22634,1.48577,-2.12413,-10.26744,-2.06014,0.00163,-2.05776,-2.06262,0.03894,0.00036,0.03955,0.03837,-2.01507,0.00274,-2.01208,-2.01938,-2.11050,0.00126,-2.10829,-2.11232,3.02830,1.26673,13.89684,1.05344,0.27810,0.15808,0.94081,0.00462,5.17050,1.09885,10.72653,2.43406
180,477.1734719276428,2965504,459.95087,10760.03641,236.63203,436.48842,24.26604,16.41893,1000.00000,-0.57679,0.94702,0.54266,-3.85115,7.33632,2.61443,16.05653,4.98527,30.05877,8.08408,61.78166,15.73936,-55.11008,19.54064,-25.57208,-115.89748,35.71399,23.48562,233.18959,14.31862,637.38027,665.84703,6726.31738,116.55701,0.01811,0.01160,0.05738,-0.01072,3.79375,0.05429,3.95548,3.63592,1.74642,0.05682,1.95478,1.57531,6.65031,0.07006,6.81116,6.40816,-5.34907,1.56850,-2.08669,-10.91780,-2.05475,0.00193,-2.05225,-2.05774,0.03782,0.00082,0.03952,0.03619,-2.01156,0.00183,-2.00912,-2.01486,-2.10268,0.00358,-2.09758,-2.10901,2.77987,1.10399,18.90810,1.05162,0.30951,0.14853,0.95069,0.00454,5.11499,1.03010,8.66144,2.70700
190,477.2647936344147,3129344,450.56467,10989.51279,324.13547,436.20342,24.32683,16.73447,1000.00000,-0.10217,0.46767,0.75281,-1.47050,5.90550,1.23615,10.52022,4.23790,27.19472,7.04696,53.10323,14.00215,-48.04877,12.77063,-20.20926,-73.34180,26.35721,12.76978,112.56767,9.76349,317.45889,164.10011,1132.27307,96.89407,0.01752,0.01134,0.05118,-0.01161,3.76640,0.05649,3.98832,3.57192,1.74518,0.05538,1.93302,1.61549,6.62445,0.06472,6.78588,6.37316,-5.19165,1.45748,-2.44411,-12.40942,-2.05038,0.00119,-2.04821,-2.05224,0.03580,0.00035,0.03626,0.03506,-2.00832,0.00150,-2.00590,-2.01055,-2.09570,0.00068,-2.09464,-2.09762,2.86931,1.07254,12.29140,1.04496,0.27528,0.16541,0.95752,0.00080,5.07710,0.99176,8.82098,2.79674
